Nat,Pokemon,Form,Species,HP,Atk,Def,SpA,SpD,Spe,Type I,Type II,Ability I,Ability II,Hidden Ability,Catch Rate,Mass (kg),Height (m),Base Egg Steps,Gender (%M,EXP to 100,Growth,Gen,Evolves from,Evolution chain id,Color id,Shape id,Habitat id (FRLG versions),Base Happiness
597,Ferroseed,,Thorn Seed,44,50,91,24,86,10,Grass,Steel,Iron Barbs,,,255,18.8,0.6,5140,50,1000000,MF,5,0,304,4,1,0,70
598,Ferrothorn,,Thorn Pod,74,94,131,54,116,20,Grass,Steel,Iron Barbs,,,90,110,1,5140,50,1000000,MF,5,597,304,4,10,0,70
599,Klink,,Gear,40,55,70,45,60,30,Steel,,Plus,Minus,Clear Body,130,21,0.3,5140,Genderless,1059860,MS,5,0,305,4,11,0,70
600,Klang,,Gear,60,80,95,70,85,50,Steel,,Plus,Minus,Clear Body,60,51,0.6,5140,Genderless,1059860,MS,5,599,305,4,11,0,70
601,Klinklang,,Gear,60,100,115,70,85,90,Steel,,Plus,Minus,Clear Body,30,81,0.6,5140,Genderless,1059860,MS,5,600,305,4,11,0,70
602,Tynamo,,EleFish,35,55,40,45,40,60,Electric,,Levitate,,,190,0.3,0.2,5140,50,1250000,S,5,0,306,9,3,0,70
603,Eelektrik,,EleFish,65,85,70,75,70,40,Electric,,Levitate,,,60,22,1.2,5140,50,1250000,S,5,602,306,2,3,0,70
604,Eelektross,,EleFish,85,115,80,105,80,50,Electric,,Levitate,,,30,80.5,2.1,5140,50,1250000,S,5,603,306,2,3,0,70
605,Elgyem,,Cerebral,55,55,55,85,55,30,Psychic,,Telepathy,Synchronize,Analytic,255,9,0.5,5140,50,1000000,MF,5,0,307,2,6,0,70
606,Beheeyem,,Cerebral,75,75,75,125,95,40,Psychic,,Telepathy,Synchronize,Analytic,90,34.5,1,5140,50,1000000,MF,5,605,307,3,12,0,70
607,Litwick,,Candle,50,30,55,65,55,20,Ghost,Fire,Flash Fire,Flame Body,Shadow Tag,190,3.1,0.3,5140,50,1059860,MS,5,0,308,9,5,0,70
608,Lampent,,Lamp,60,40,60,95,60,55,Ghost,Fire,Flash Fire,Flame Body,Shadow Tag,90,13,0.6,5140,50,1059860,MS,5,607,308,1,4,0,70
609,Chandelure,,Luring,60,55,90,145,90,80,Ghost,Fire,Flash Fire,Flame Body,Shadow Tag,45,34.3,1,5140,50,1059860,MS,5,608,308,1,4,0,70
610,Axew,,Tusk,46,87,60,30,40,57,Dragon,,Rivalry,Mold Breaker,Unnerve,75,18,0.6,10280,50,1250000,S,5,0,309,5,6,0,35
611,Fraxure,,Axe Jaw,66,117,70,40,50,67,Dragon,,Rivalry,Mold Breaker,Unnerve,60,36,1,10280,50,1250000,S,5,610,309,5,6,0,35
612,Haxorus,,Axe Jaw,76,147,90,60,70,97,Dragon,,Rivalry,Mold Breaker,Unnerve,45,105.5,1.8,10280,50,1250000,S,5,611,309,10,6,0,35
613,Cubchoo,,Chill,55,70,40,60,40,40,Ice,,Snow Cloak,,Rattled,120,8.5,0.5,5140,50,1000000,MF,5,0,310,9,6,0,70
614,Beartic,,Freezing,95,110,80,70,80,50,Ice,,Snow Cloak,,Swift Swim,60,260,2.6,5140,50,1000000,MF,5,613,310,9,8,0,70
615,Cryogonal,,Crystallizing,70,50,30,95,135,105,Ice,,Levitate,,,25,148,1.1,6425,Genderless,1000000,MF,5,0,311,2,1,0,70
616,Shelmet,,Snail,50,40,85,40,65,25,Bug,,Hydration,Shell Armor,Overcoat,200,7.7,0.4,3855,50,1000000,MF,5,0,312,8,1,0,70
617,Accelgor,,Shell Oute,80,70,40,100,60,145,Bug,,Hydration,Sticky Hold,Unburden,75,25.3,0.8,3855,50,1000000,MF,5,616,312,8,4,0,70
618,Stunfisk,,Trap,109,66,84,81,99,32,Ground,Electric,Static,Limber,Sand Veil,75,11,0.7,5140,50,1000000,MF,5,0,313,3,3,0,70
619,Mienfoo,,Martial Arts,45,85,50,55,50,65,Fighting,,Inner Focus,Regenerator,Reckless,180,20,0.9,6425,50,1059860,MS,5,0,314,10,6,0,70
620,Mienshao,,Martial Arts,65,125,60,95,60,105,Fighting,,Inner Focus,Regenerator,Reckless,45,35.5,1.4,6425,50,1059860,MS,5,619,314,7,6,0,70
621,Druddigon,,Cave,77,120,90,60,90,48,Dragon,,Rough Skin,Sheer Force,Mold Breaker,45,139,1.6,7710,50,1000000,MF,5,0,315,8,6,0,70
622,Golett,,Automaton,59,74,50,35,50,35,Ground,Ghost,Iron Fist,Klutz,No Guard,190,92,1,6425,Genderless,1000000,MF,5,0,316,5,12,0,70
623,Golurk,,Automaton,89,124,80,55,80,55,Ground,Ghost,Iron Fist,Klutz,No Guard,90,330,2.8,6425,Genderless,1000000,MF,5,622,316,5,12,0,70
624,Pawniard,,Sharp Blade,45,85,70,40,40,60,Dark,Steel,Defiant,Inner Focus,Pressure,120,10.2,0.5,5140,50,1000000,MF,5,0,317,8,12,0,35
625,Bisharp,,Sword Blade,65,125,100,60,70,70,Dark,Steel,Defiant,Inner Focus,Pressure,45,70,1.6,5140,50,1000000,MF,5,624,317,8,12,0,35
626,Bouffalant,,Bash Buffalo,95,110,95,40,95,55,Normal,,Reckless,Sap Sipper,Soundproof,45,94.6,1.6,5140,50,1000000,MF,5,0,318,3,8,0,70
627,Rufflet,,Eaglet,70,83,50,37,50,60,Normal,Flying,Keen Eye,Sheer Force,Hustle,190,10.5,0.5,5140,100,1250000,S,5,0,319,9,9,0,70
628,Braviary,,Valiant,100,123,75,57,75,80,Normal,Flying,Keen Eye,Sheer Force,Defiant,60,41,1.5,5140,100,1250000,S,5,627,319,8,9,0,70
629,Vullaby,,Diapered,70,55,75,45,65,60,Dark,Flying,Big Pecks,Overcoat,Weak Armor,190,9,0.5,5140,0,1250000,S,5,0,320,3,9,0,35
630,Mandibuzz,,Bone Vulture,110,65,105,55,95,80,Dark,Flying,Big Pecks,Overcoat,Weak Armor,60,39.5,1.2,5140,0,1250000,S,5,629,320,3,9,0,35
631,Heatmor,,Anteater,85,97,66,105,66,65,Fire,,Gluttony,Flash Fire,White Smoke,90,58,1.4,5140,50,1000000,MF,5,0,321,8,6,0,70
632,Durant,,Iron Ant,58,109,112,48,48,109,Bug,Steel,Swarm,Hustle,Truant,90,33,0.3,5140,50,1000000,MF,5,0,322,4,14,0,70
633,Deino,,Irate,52,65,50,45,50,38,Dark,Dragon,Hustle,,,45,17.3,0.8,10280,50,1250000,S,5,0,323,2,8,0,35
634,Zweilous,,Hostile,72,85,70,65,70,58,Dark,Dragon,Hustle,,,45,50,1.4,10280,50,1250000,S,5,633,323,2,8,0,35
635,Hydreigon,,Brutal,92,105,90,125,90,98,Dark,Dragon,Levitate,,,45,160,1.8,10280,50,1250000,S,5,634,323,2,6,0,35
636,Larvesta,,Torch,55,85,55,50,55,60,Bug,Fire,Flame Body,,Swarm,45,28.8,1.1,10280,50,1250000,S,5,0,324,9,14,0,70
637,Volcarona,,Sun,85,60,65,135,105,100,Bug,Fire,Flame Body,,Swarm,15,46,1.6,10280,50,1250000,S,5,636,324,9,13,0,70
638,Cobalion,,Iron Will,91,90,129,90,72,108,Steel,Fighting,Justified,,,3,250,2.1,20560,Genderless,1250000,S,5,0,325,2,8,0,35
639,Terrakion,,Cavern,91,129,90,72,90,108,Rock,Fighting,Justified,,,3,260,1.9,20560,Genderless,1250000,S,5,0,326,4,8,0,35
640,Virizion,,Grassland,91,90,72,90,129,108,Grass,Fighting,Justified,,,3,200,2,20560,Genderless,1250000,S,5,0,327,5,8,0,35
641,Tornadus,Incarnate Forme,Cyclone,79,115,70,125,80,111,Flying,,Prankster,,Defiant,3,63,1.5,30840,100,1250000,S,5,0,328,5,4,0,90
641,Tornadus,Therian Forme,Cyclone,79,100,80,110,90,121,Flying,,Regenerator,,,3,63,1.4,30840,100,1250000,S,5,0,328,5,4,0,90
642,Thundurus,Incarnate Forme,Bolt Strike,79,115,70,125,80,111,Electric,Flying,Prankster,,Defiant,3,65,1.5,30840,100,1250000,S,5,0,329,2,4,0,90
642,Thundurus,Therian Forme,Bolt Strike,79,105,70,145,80,101,Electric,Flying,Regenerator,,,3,65,3,30840,100,1250000,S,5,0,329,2,4,0,90
643,Reshiram,,Vast White,100,120,100,150,120,90,Dragon,Fire,Turboblaze,,,45,330,3.2,30840,Genderless,1250000,S,5,0,330,9,9,0,0
644,Zekrom,,Deep Black,100,150,120,120,100,90,Dragon,Electric,Teravolt,,,45,345,2.9,30840,Genderless,1250000,S,5,0,331,1,6,0,0
645,Landorus,Incarnate Forme,Abundance,89,125,90,115,80,101,Ground,Flying,Sand Force,,Sheer Force,3,68,1.5,30840,100,1250000,S,5,0,332,3,4,0,90
645,Landorus,Therian Forme,Abundance,89,145,90,105,80,91,Ground,Flying,Intimidate,,,3,68,1.3,30840,100,1250000,S,5,0,332,3,4,0,90
646,Kyurem,Normal Kyurem,Boundary,125,130,90,130,90,95,Dragon,Ice,Pressure,,,3,325,3,30840,Genderless,1250000,S,5,0,333,4,6,0,0
646,Kyurem,White Kyurem,Boundary,125,120,90,170,100,95,Dragon,Ice,Turboblaze,,,3,325,3.6,30840,Genderless,1250000,S,5,0,333,4,6,0,0
646,Kyurem,Black Kyurem,Boundary,125,170,100,120,90,95,Dragon,Ice,Teravolt,,,3,325,3.3,30840,Genderless,1250000,S,5,0,333,4,6,0,0
647,Keldeo,Ordinary Form,Colt,91,72,90,129,90,108,Water,Fighting,Justified,,,3,48.5,1.4,20560,Genderless,1250000,S,5,0,334,10,8,0,35
647,Keldeo,Resolute Form,Colt,91,72,90,129,90,108,Water,Fighting,Justified,,,3,48.5,1.4,20560,Genderless,1250000,S,5,0,334,10,8,0,35
648,Meloetta,Aria Forme,Melody,100,77,77,128,128,90,Normal,Psychic,Serene Grace,,,3,6.5,0.6,5140,Genderless,1250000,S,5,0,335,9,12,0,100
648,Meloetta,Pirouette Forme,Melody,100,128,90,77,77,128,Normal,Fighting,Serene Grace,,,3,6.5,0.6,5140,Genderless,1250000,S,5,0,335,9,12,0,100
649,Genesect,,Paleozoic,71,120,95,120,95,99,Bug,Steel,Download,,,3,82.5,1.5,30840,Genderless,1250000,S,5,0,336,7,12,0,0
650,Chespin,,Spiny Nut,56,61,65,48,45,38,Grass,,Overgrow,,Bulletproof,45,9,0.4,5140,87.5,1059860,MS,6,0,337,5,6,0,70
651,Quilladin,,Spiny Armor,61,78,95,56,58,57,Grass,,Overgrow,,Bulletproof,45,29,0.7,5140,87.5,1059860,MS,6,650,337,5,6,0,70
652,Chesnaught,,Spiny Armor,88,107,122,74,75,64,Grass,Fighting,Overgrow,,Bulletproof,45,90,1.6,5140,87.5,1059860,MS,6,651,337,5,6,0,70
653,Fennekin,,Fox,40,45,40,62,60,60,Fire,,Blaze,,Magician,45,9.4,0.4,5140,87.5,1059860,MS,6,0,338,8,8,0,70
654,Braixen,,Fox,59,59,58,90,70,73,Fire,,Blaze,,Magician,45,14.5,1,5140,87.5,1059860,MS,6,653,338,8,6,0,70
655,Delphox,,Fox,75,69,72,114,100,104,Fire,Psychic,Blaze,,Magician,45,39,1.5,5140,87.5,1059860,MS,6,654,338,8,6,0,70
656,Froakie,,Bubble Frog,41,56,40,62,44,71,Water,,Torrent,,Protean,45,7,0.3,5140,87.5,1059860,MS,6,0,339,2,8,0,70
657,Frogadier,,Bubble Frog,54,63,52,83,56,97,Water,,Torrent,,Protean,45,10.9,0.6,5140,87.5,1059860,MS,6,656,339,2,12,0,70
658,Greninja,,Ninja,72,95,67,103,71,122,Water,Dark,Torrent,,Protean,45,40,1.5,5140,87.5,1059860,MS,6,657,339,2,12,0,70
659,Bunnelby,,Digging,38,36,38,32,36,57,Normal,,Pickup,Cheek Pouch,Huge Power,255,5,0.4,3855,50,1000000,MF,6,0,340,3,6,0,70
660,Diggersby,,Digging,85,56,77,50,77,78,Normal,Ground,Pickup,Cheek Pouch,Huge Power,127,42.4,1,3855,50,1000000,MF,6,659,340,3,6,0,70
661,Fletchling,,Tiny Robin,45,50,43,40,38,62,Normal,Flying,Big Pecks,,Gale Wings,255,1.7,0.3,3855,50,1059860,MS,6,0,341,8,9,0,70
662,Fletchinder,,Ember,62,73,55,56,52,84,Fire,Flying,Flame Body,,Gale Wings,120,16,0.7,3855,50,1059860,MS,6,661,341,8,9,0,70
663,Talonflame,,Scorching,78,81,71,74,69,126,Fire,Flying,Flame Body,,Gale Wings,45,24.5,1.2,3855,50,1059860,MS,6,662,341,8,9,0,70
664,Scatterbug,,Scatterdust,38,35,40,27,25,35,Bug,,Shield Dust,Compound Eyes,Friend Guard,255,2.5,0.3,3855,50,1000000,MF,6,0,342,1,14,0,70
665,Spewpa,,Scatterdust,45,22,60,27,30,29,Bug,,Shed Skin,,Friend Guard,120,8.4,0.3,3855,50,1000000,MF,6,664,342,1,5,0,70
666,Vivillon,,Scale,80,52,50,90,50,89,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,45,17,1.2,3855,50,1000000,MF,6,665,342,1,13,0,70
667,Litleo,,Lion Cub,62,50,58,73,54,72,Fire,Normal,Rivalry,Unnerve,Moxie,220,13.5,0.6,5140,25,1059860,MS,6,0,343,3,8,0,70
668,Pyroar,,Royal,86,68,72,109,66,106,Fire,Normal,Rivalry,Unnerve,Moxie,65,81.5,1.5,5140,65,1059860,MS,6,667,343,3,8,0,70
669,Flabebe,,Single Bloom,44,38,39,61,79,42,Fairy,,Flower Veil,,Symbiosis,225,0.1,0.1,5140,0,1000000,MF,6,0,344,9,4,0,70
670,Floette,,Fairy,54,45,47,75,98,52,Fairy,,Flower Veil,,Symbiosis,120,0.9,0.2,5140,0,1000000,MF,6,669,344,9,4,0,70
671,Florges,,Garden,78,65,68,112,154,75,Fairy,,Flower Veil,,Symbiosis,45,10,1.1,5140,0,1000000,MF,6,670,344,9,4,0,70
672,Skiddo,,Mount,66,65,48,62,57,52,Grass,,Sap Sipper,,Grass Pelt,200,31,0.9,5140,50,1000000,MF,6,0,345,3,8,0,70
673,Gogoat,,Mount,123,100,62,97,81,68,Grass,,Sap Sipper,,Grass Pelt,45,91,1.7,5140,50,1000000,MF,6,672,345,3,8,0,70
674,Pancham,,Playful,67,82,62,46,48,43,Fighting,,Iron Fist,Mold Breaker,Scrappy,220,8,0.6,6425,50,1000000,MF,6,0,346,9,6,0,70
675,Pangoro,,Daunting,95,124,78,69,71,58,Fighting,Dark,Iron Fist,Mold Breaker,Scrappy,65,136,2.1,6425,50,1000000,MF,6,674,346,9,12,0,70
676,Furfrou,,Poodle,75,80,60,65,90,102,Normal,,Fur Coat,,,160,28,1.2,5140,50,1000000,MF,6,0,347,9,8,0,70
677,Espurr,,Restraint,62,48,54,63,60,68,Psychic,,Keen Eye,Infiltrator,Own Tempo,190,3.5,0.3,5140,50,1000000,MF,6,0,348,4,6,0,70
678,Meowstic,Male,Constraint,74,48,76,83,81,104,Psychic,,Keen Eye,Infiltrator,Prankster,75,8.5,0.6,5140,100,1000000,MF,6,677,348,9,6,0,70
678,Meowstic,Female,Constraint,74,48,76,83,81,104,Psychic,,Keen Eye,Infiltrator,Competitive,75,8.5,0.6,5140,0,1000000,MF,6,677,348,9,6,0,70
679,Honedge,,Sword,45,80,100,35,37,28,Steel,Ghost,No Guard,,,180,2,0.8,5140,50,1000000,MF,6,0,349,3,5,0,70
680,Doublade,,Sword,59,110,150,45,49,35,Steel,Ghost,No Guard,,,90,4.5,0.8,5140,50,1000000,MF,6,679,349,3,11,0,70
681,Aegislash,Shield Forme,Royal Sword,60,50,150,50,150,60,Steel,Ghost,Stance Change,,,45,53,1.7,5140,50,1000000,MF,6,680,349,3,5,0,70
681,Aegislash,Blade Forme,Royal Sword,60,150,50,150,50,60,Steel,Ghost,Stance Change,,,45,53,1.7,5140,50,1000000,MF,6,680,349,3,5,0,70
682,Sprtizee,,Perfume,78,52,60,63,65,23,Fairy,,Healer,,Aroma Veil,200,0.5,0.2,5140,50,1000000,MF,6,0,350,6,4,0,70
683,Aromatisse,,Fragrance,101,72,72,99,89,29,Fairy,,Healer,,Aroma Veil,140,15.5,0.8,5140,50,1000000,MF,6,682,350,6,12,0,70
684,Swirlix,,Cotton Candy,62,48,66,59,57,49,Fairy,,Sweet Veil,,Unburden,200,3.5,0.4,5140,50,1000000,MF,6,0,351,9,7,0,70
685,Slurpuff,,Meringue,82,80,86,85,75,72,Fairy,,Sweet Veil,,Unburden,140,5,0.8,5140,50,1000000,MF,6,684,351,9,12,0,70
686,Inkay,,Revolving,53,54,53,37,46,45,Dark,Psychic,Contrary,Suction Cups,Infiltrator,190,3.5,0.4,5140,50,1000000,MF,6,0,352,2,10,0,70
687,Malamar,,Overturning,86,92,88,68,75,73,Dark,Psychic,Contrary,Suction Cups,Infiltrator,80,47,1.5,5140,50,1000000,MF,6,686,352,2,5,0,70
688,Binacle,,Two-Handed,42,52,67,39,56,50,Rock,Water,Tough Claws,Sniper,Pickpocket,120,31,0.5,5140,50,1000000,MF,6,0,353,3,11,0,70
689,Barbaracle,,Collective,72,105,115,54,86,68,Rock,Water,Tough Claws,Sniper,Pickpocket,45,96,1.3,5140,50,1000000,MF,6,688,353,3,11,0,70
690,Skrelp,,Mock Kelp,50,60,60,60,60,30,Poison,Water,Poison Point,Poison Touch,Adaptability,225,7.3,0.5,5140,50,1000000,MF,6,0,354,3,5,0,70
691,Dragalge,,Mock Kelp,65,75,90,97,123,44,Poison,Dragon,Poison Point,Poison Touch,Adaptability,55,81.5,1.8,5140,50,1000000,MF,6,690,354,3,5,0,70
692,Clauncher,,Water Gun,50,53,62,58,63,44,Water,,Mega Launcher,,,225,8.3,0.5,3855,50,1250000,S,6,0,355,2,14,0,70
693,Clawitzer,,Howitzer,71,73,88,120,89,59,Water,,Mega Launcher,,,55,35.3,1.3,3855,50,1250000,S,6,692,355,2,2,0,70
694,Helioptile,,Generator,44,38,33,61,43,70,Electric,Normal,Dry Skin,Sand Veil,Solar Power,190,6,0.5,5140,50,1000000,MF,6,0,356,10,6,0,70
695,Heliolisk,,Generator,62,55,52,109,94,109,Electric,Normal,Dry Skin,Sand Veil,Solar Power,75,21,1,5140,50,1000000,MF,6,694,356,10,6,0,70
696,Tyrunt,,Royal Hair,58,89,77,45,45,48,Rock,Dragon,Strong Jaw,,Sturdy,45,26,0.8,7710,87.5,1000000,MF,6,0,357,3,6,0,70
697,Tyrantrum,,Despot,82,121,119,69,59,71,Rock,Dragon,Strong Jaw,,Rock Head,45,270,2.5,7710,87.5,1000000,MF,6,696,357,8,6,0,70
698,Amaura,,Tundra,77,59,50,67,63,46,Rock,Ice,Refrigerate,,Snow Warning,45,25.2,1.3,7710,87.5,1000000,MF,6,0,358,2,8,0,70
699,Aurorus,,Tundra,123,77,72,99,92,58,Rock,Ice,Refrigerate,,Snow Warning,45,225,2.7,7710,87.5,1000000,MF,6,698,358,2,8,0,70
700,Sylveon,,Intertwining,95,65,65,110,130,60,Fairy,,Cute Charm,,Pixilate,45,23.5,1,8995,87.5,1000000,MF,6,133,67,6,8,0,70
701,Hawlucha,,Wrestling,78,92,75,74,63,118,Fighting,Flying,Limber,Unburden,Mold Breaker,100,21.5,0.8,5140,50,1000000,MF,6,0,359,5,12,0,70
702,Dedenne,,Antenna,67,58,57,81,67,101,Electric,Fairy,Cheek Pouch,Pickup,Plus,180,2.2,0.2,5140,50,1000000,MF,6,0,360,10,6,0,70
703,Carbink,,Jewel,50,50,150,50,150,50,Rock,Fairy,Clear Body,,Sturdy,60,5.7,0.3,6425,Genderless,1250000,S,6,0,361,4,1,0,70
704,Goomy,,Soft Tissue,45,50,35,55,75,40,Dragon,,Sap Sipper,Hydration,Gooey,45,2.8,0.3,10280,50,1250000,S,6,0,362,7,2,0,35
705,Sliggoo,,Soft Tissue,68,75,53,83,113,60,Dragon,,Sap Sipper,Hydration,Gooey,45,17.5,0.8,10280,50,1250000,S,6,704,362,7,2,0,35
706,Goodra,,Dragon,90,100,70,110,150,80,Dragon,,Sap Sipper,Hydration,Gooey,45,150.5,2,10280,50,1250000,S,6,705,362,7,6,0,35
707,Klefki,,Key Ring,57,80,91,80,87,75,Steel,Fairy,Prankster,,Magician,75,3,0.2,5140,50,800000,F,6,0,363,4,1,0,70
708,Phantump,,Stump,43,70,48,50,60,38,Ghost,Grass,Natural Cure,Frisk,Harvest,120,7,0.4,5140,50,1000000,MF,6,0,364,3,4,0,70
709,Trevenant,,Elder Tree,85,110,76,65,82,56,Ghost,Grass,Natural Cure,Frisk,Harvest,60,71,1.5,5140,50,1000000,MF,6,708,364,3,10,0,70
710,Pumpkaboo,Average Size,Pumpkin,49,66,70,44,55,51,Ghost,Grass,Pickup,Frisk,Insomnia,120,5,0.4,5140,50,1000000,MF,6,0,365,3,1,0,70
710,Pumpkaboo,Small Size,Pumpkin,44,66,70,44,55,56,Ghost,Grass,Pickup,Frisk,Insomnia,120,3.5,0.3,5140,50,1000000,MF,6,0,365,3,1,0,70
710,Pumpkaboo,Large Size,Pumpkin,54,66,70,44,55,46,Ghost,Grass,Pickup,Frisk,Insomnia,120,7.5,0.5,5140,50,1000000,MF,6,0,365,3,1,0,70
710,Pumpkaboo,Super Size,Pumpkin,59,66,70,44,55,41,Ghost,Grass,Pickup,Frisk,Insomnia,120,15,0.8,5140,50,1000000,MF,6,0,365,3,1,0,70
711,Gourgeist,Average Size,Pumpkin,65,90,122,58,75,84,Ghost,Grass,Pickup,Frisk,Insomnia,60,12.5,0.9,5140,50,1000000,MF,6,710,365,3,5,0,70
711,Gourgeist,Small Size,Pumpkin,55,85,122,58,75,99,Ghost,Grass,Pickup,Frisk,Insomnia,60,9.5,0.7,5140,50,1000000,MF,6,710,365,3,5,0,70
711,Gourgeist,Large Size,Pumpkin,75,95,122,58,75,69,Ghost,Grass,Pickup,Frisk,Insomnia,60,14,1.1,5140,50,1000000,MF,6,710,365,3,5,0,70
711,Gourgeist,Super Size,Pumpkin,85,100,122,58,75,54,Ghost,Grass,Pickup,Frisk,Insomnia,60,39,1.7,5140,50,1000000,MF,6,710,365,3,5,0,70
712,Bergmite,,Ice Chunk,55,69,85,32,35,28,Ice,,Own Tempo,Ice Body,Sturdy,190,99.5,1,5140,50,1000000,MF,6,0,366,2,8,0,70
713,Avalugg,,Iceberg,95,117,184,44,46,28,Ice,,Own Tempo,Ice Body,Sturdy,55,505,2,5140,50,1000000,MF,6,712,366,2,8,0,70
714,Noilbat,,Sound Wave,40,30,35,45,40,55,Flying,Dragon,Frisk,Infiltrator,Telepathy,190,8,0.5,5140,50,1000000,MF,6,0,367,7,9,0,70
715,Noivern,,Sound Wave,85,70,80,97,80,123,Flying,Dragon,Frisk,Infiltrator,Telepathy,45,85,1.5,5140,50,1000000,MF,6,714,367,7,9,0,70
716,Xerneas,,Life,126,131,95,131,98,99,Fairy,,Fairy Aura,,,45,215,3,30840,Genderless,1250000,S,6,0,368,2,8,0,0
717,Yveltal,,Destruction,126,131,95,131,98,99,Dark,Flying,Dark Aura,,,45,203,5.8,30840,Genderless,1250000,S,6,0,369,8,9,0,0
718,Zygarde,,Order,108,100,121,81,95,95,Dragon,Ground,Aura Break,,,3,284.6,5,30840,Genderless,1250000,S,6,0,370,5,2,0,0
719,Diancie,,Jewel,50,100,150,100,150,50,Rock,Fairy,Clear Body,,,3,8.8,0.7,6425,Genderless,1250000,S,6,0,371,6,4,0,70
719,Diancie,Mega,Jewel,50,160,110,160,110,110,Rock,Fairy,Magic Bounce,,,3,27.8,1.1,6425,Genderless,1250000,S,6,0,371,6,4,0,70
720,Hoopa,Confined Hoopa,Mischief,80,110,60,150,130,70,Psychic,Ghost,Magician,,,3,9,0.5,30840,Genderless,1250000,S,6,0,372,7,1,0,100
720,Hoopa,Unbound Hoopa,Djinn,80,160,60,170,130,80,Psychic,Dark,Magician,,,3,490,6.5,30840,Genderless,1250000,S,6,0,372,7,1,0,100
721,Volcanion,,Steam,80,110,120,130,90,70,Fire,Water,Water Absorb,,,3,195,1.7,30840,Genderless,1250000,S,6,0,373,3,1,0,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
